species,decimallongitude,decimallatitude
Oryctolagus,-71.3783,41.4334
Oryctolagus,-71.383333,41.4
Oryctolagus,-71.366667,41.416667
Oryctolagus,-71.366667,41.416667
Oryctolagus,-71.384195,41.395862
Oryctolagus,-71.38389,41.4056
Oryctolagus,-71.3842,41.39586
Oryctolagus,-71.38333,41.4
Oryctolagus,-71.36667,41.41667
Oryctolagus,-71.38389,41.4056
Oryctolagus,-71.36667,41.4
Oryctolagus,-71.38333,41.4
Oryctolagus,-71.3842,41.39586
Oryctolagus,-71.36667,41.4
Oryctolagus,-71.36100006,41.47900009
Oryctolagus,-71.36100006,41.47900009
Oryctolagus,-71.36070251,41.47909927
Oryctolagus,-71.3612,41.479
Oryctolagus,-71.36,41.41466667
Oryctolagus,-71.383333,41.483333
Oryctolagus,-71.36699677,41.46699905
Oryctolagus,-71.36699677,41.46699905
Oryctolagus,-71.36699677,41.46699905
Oryctolagus,-71.36699677,41.46699905
Oryctolagus,-71.36699677,41.46699905
Oryctolagus,-71.361314,41.479006
Oryctolagus,-71.36778,41.49694
Oryctolagus,-71.3758,41.3507
Oryctolagus,-71.37148,41.33581
Oryctolagus,-71.38349,41.37526
Oryctolagus,-71.36698,41.37576
Oryctolagus,-71.3834,41.3486
Oryctolagus,-71.35833333,41.34166667
Oryctolagus,-71.3667,41.3333
Oryctolagus,-71.39299774,41.6868782
Oryctolagus,-71.39299774,41.6868782
Oryctolagus,-71.39299774,41.6868782
Oryctolagus,-71.37000275,41.65999985
Oryctolagus,-71.40000153,41.54000092
Oryctolagus,-71.40000153,41.54000092
Oryctolagus,-71.40000153,41.61000061
Oryctolagus,-71.40000153,41.54000092
Oryctolagus,-71.38300323,41.59999847
Oryctolagus,-71.3593,41.433
Oryctolagus,-71.39631653,41.49462128
Oryctolagus,-71.39631653,41.49462128
Oryctolagus,-71.39631653,41.49462128
Oryctolagus,-71.36,41.41466667
Oryctolagus,-71.3925,41.4355
Oryctolagus,-71.383333,41.483333
Oryctolagus,-71.40000153,41.47000122
